duration_ms,map_length,timestamp
19.234,50000,2025-09-18 21:05:15
10.049,50000,2025-09-18 21:05:15
11.810,50000,2025-09-18 21:05:15
12.319,50000,2025-09-18 21:05:15
12.761,50000,2025-09-18 21:05:15
12.395,50000,2025-09-18 21:05:15
12.220,50000,2025-09-18 21:05:15
11.902,50000,2025-09-18 21:05:15
11.738,50000,2025-09-18 21:05:15
12.707,50000,2025-09-18 21:05:15
12.289,50000,2025-09-18 21:05:15
12.562,50000,2025-09-18 21:05:15
18.689,50000,2025-09-18 21:05:15
11.423,50000,2025-09-18 21:05:15
12.833,50000,2025-09-18 21:05:15
12.285,50000,2025-09-18 21:05:15
11.520,50000,2025-09-18 21:05:15
11.950,50000,2025-09-18 21:05:15
12.010,50000,2025-09-18 21:05:15
11.903,50000,2025-09-18 21:05:15
12.171,50000,2025-09-18 21:05:16
12.027,50000,2025-09-18 21:05:16
11.958,50000,2025-09-18 21:05:16
12.131,50000,2025-09-18 21:05:16
12.401,50000,2025-09-18 21:05:16
13.117,50000,2025-09-18 21:05:16
12.693,50000,2025-09-18 21:05:16
12.404,50000,2025-09-18 21:05:16
12.196,50000,2025-09-18 21:05:16
11.901,50000,2025-09-18 21:05:16
11.921,50000,2025-09-18 21:05:16
12.049,50000,2025-09-18 21:05:16
11.854,50000,2025-09-18 21:05:16
11.989,50000,2025-09-18 21:05:16
12.071,50000,2025-09-18 21:05:16
11.867,50000,2025-09-18 21:05:16
12.323,50000,2025-09-18 21:05:16
11.420,50000,2025-09-18 21:05:16
12.593,50000,2025-09-18 21:05:16
11.321,50000,2025-09-18 21:05:16
11.908,50000,2025-09-18 21:05:16
11.596,50000,2025-09-18 21:05:16
12.063,50000,2025-09-18 21:05:16
12.193,50000,2025-09-18 21:05:16
11.775,50000,2025-09-18 21:05:16
11.945,50000,2025-09-18 21:05:16
11.689,50000,2025-09-18 21:05:16
12.552,50000,2025-09-18 21:05:16
11.923,50000,2025-09-18 21:05:16
12.183,50000,2025-09-18 21:05:16
12.431,50000,2025-09-18 21:05:16
11.745,50000,2025-09-18 21:05:16
12.149,50000,2025-09-18 21:05:16
11.922,50000,2025-09-18 21:05:16
11.645,50000,2025-09-18 21:05:16
12.140,50000,2025-09-18 21:05:16
12.301,50000,2025-09-18 21:05:16
11.702,50000,2025-09-18 21:05:16
12.343,50000,2025-09-18 21:05:16
12.052,50000,2025-09-18 21:05:16
12.039,50000,2025-09-18 21:05:16
11.924,50000,2025-09-18 21:05:16
12.154,50000,2025-09-18 21:05:16
11.870,50000,2025-09-18 21:05:16
11.902,50000,2025-09-18 21:05:16
12.060,50000,2025-09-18 21:05:16
12.536,50000,2025-09-18 21:05:16
12.283,50000,2025-09-18 21:05:16
12.872,50000,2025-09-18 21:05:16
11.858,50000,2025-09-18 21:05:16
12.203,50000,2025-09-18 21:05:16
12.794,50000,2025-09-18 21:05:16
12.949,50000,2025-09-18 21:05:16
12.489,50000,2025-09-18 21:05:16
12.042,50000,2025-09-18 21:05:16
11.611,50000,2025-09-18 21:05:16
13.043,50000,2025-09-18 21:05:16
12.567,50000,2025-09-18 21:05:16
11.337,50000,2025-09-18 21:05:16
12.535,50000,2025-09-18 21:05:16
12.864,50000,2025-09-18 21:05:16
11.679,50000,2025-09-18 21:05:16
13.220,50000,2025-09-18 21:05:16
12.454,50000,2025-09-18 21:05:16
12.677,50000,2025-09-18 21:05:16
12.683,50000,2025-09-18 21:05:16
12.043,50000,2025-09-18 21:05:16
12.583,50000,2025-09-18 21:05:16
26.126,50000,2025-09-18 21:05:16
20.409,50000,2025-09-18 21:05:16
13.164,50000,2025-09-18 21:05:16
12.643,50000,2025-09-18 21:05:16
12.809,50000,2025-09-18 21:05:16
12.399,50000,2025-09-18 21:05:16
12.463,50000,2025-09-18 21:05:16
11.778,50000,2025-09-18 21:05:16
11.834,50000,2025-09-18 21:05:16
11.984,50000,2025-09-18 21:05:16
12.945,50000,2025-09-18 21:05:16
12.095,50000,2025-09-18 21:05:17
