duration_ms,map_length,timestamp
5.120,50000,2025-09-18 21:05:17
4.169,50000,2025-09-18 21:05:17
4.592,50000,2025-09-18 21:05:17
4.571,50000,2025-09-18 21:05:17
4.066,50000,2025-09-18 21:05:17
4.269,50000,2025-09-18 21:05:17
4.482,50000,2025-09-18 21:05:17
4.607,50000,2025-09-18 21:05:17
3.984,50000,2025-09-18 21:05:17
4.231,50000,2025-09-18 21:05:17
3.843,50000,2025-09-18 21:05:17
3.389,50000,2025-09-18 21:05:17
3.923,50000,2025-09-18 21:05:17
3.535,50000,2025-09-18 21:05:17
3.870,50000,2025-09-18 21:05:17
4.024,50000,2025-09-18 21:05:17
3.578,50000,2025-09-18 21:05:17
3.668,50000,2025-09-18 21:05:17
6.771,50000,2025-09-18 21:05:17
6.450,50000,2025-09-18 21:05:17
5.887,50000,2025-09-18 21:05:17
5.024,50000,2025-09-18 21:05:17
4.470,50000,2025-09-18 21:05:17
4.382,50000,2025-09-18 21:05:17
4.672,50000,2025-09-18 21:05:17
4.770,50000,2025-09-18 21:05:17
5.340,50000,2025-09-18 21:05:17
6.417,50000,2025-09-18 21:05:17
5.535,50000,2025-09-18 21:05:17
6.509,50000,2025-09-18 21:05:17
5.647,50000,2025-09-18 21:05:17
6.177,50000,2025-09-18 21:05:17
8.865,50000,2025-09-18 21:05:17
6.767,50000,2025-09-18 21:05:17
5.979,50000,2025-09-18 21:05:17
4.382,50000,2025-09-18 21:05:17
5.508,50000,2025-09-18 21:05:17
5.958,50000,2025-09-18 21:05:17
4.698,50000,2025-09-18 21:05:17
4.461,50000,2025-09-18 21:05:17
4.952,50000,2025-09-18 21:05:17
4.130,50000,2025-09-18 21:05:17
7.103,50000,2025-09-18 21:05:17
9.265,50000,2025-09-18 21:05:17
2.832,50000,2025-09-18 21:05:17
5.305,50000,2025-09-18 21:05:17
5.428,50000,2025-09-18 21:05:17
4.572,50000,2025-09-18 21:05:17
5.021,50000,2025-09-18 21:05:17
5.007,50000,2025-09-18 21:05:17
4.403,50000,2025-09-18 21:05:17
4.311,50000,2025-09-18 21:05:17
4.575,50000,2025-09-18 21:05:17
4.514,50000,2025-09-18 21:05:17
4.298,50000,2025-09-18 21:05:17
4.654,50000,2025-09-18 21:05:17
4.492,50000,2025-09-18 21:05:17
4.199,50000,2025-09-18 21:05:17
4.340,50000,2025-09-18 21:05:17
4.711,50000,2025-09-18 21:05:17
4.634,50000,2025-09-18 21:05:17
2.341,50000,2025-09-18 21:05:17
4.642,50000,2025-09-18 21:05:17
3.930,50000,2025-09-18 21:05:17
5.197,50000,2025-09-18 21:05:17
3.943,50000,2025-09-18 21:05:17
3.815,50000,2025-09-18 21:05:17
3.807,50000,2025-09-18 21:05:17
3.429,50000,2025-09-18 21:05:17
3.920,50000,2025-09-18 21:05:17
3.505,50000,2025-09-18 21:05:17
4.033,50000,2025-09-18 21:05:17
4.110,50000,2025-09-18 21:05:17
3.649,50000,2025-09-18 21:05:17
3.966,50000,2025-09-18 21:05:17
4.014,50000,2025-09-18 21:05:17
3.519,50000,2025-09-18 21:05:17
3.914,50000,2025-09-18 21:05:17
4.486,50000,2025-09-18 21:05:17
3.554,50000,2025-09-18 21:05:17
4.076,50000,2025-09-18 21:05:17
3.961,50000,2025-09-18 21:05:17
3.684,50000,2025-09-18 21:05:17
3.938,50000,2025-09-18 21:05:17
4.248,50000,2025-09-18 21:05:17
3.495,50000,2025-09-18 21:05:17
4.106,50000,2025-09-18 21:05:17
3.907,50000,2025-09-18 21:05:17
3.630,50000,2025-09-18 21:05:17
4.068,50000,2025-09-18 21:05:17
3.943,50000,2025-09-18 21:05:17
3.823,50000,2025-09-18 21:05:17
4.430,50000,2025-09-18 21:05:17
4.133,50000,2025-09-18 21:05:17
3.573,50000,2025-09-18 21:05:17
3.763,50000,2025-09-18 21:05:17
3.932,50000,2025-09-18 21:05:17
3.788,50000,2025-09-18 21:05:17
4.250,50000,2025-09-18 21:05:17
4.128,50000,2025-09-18 21:05:17
