duration_ms,map_length,timestamp
12.696,50000,2025-09-18 21:05:14
12.846,50000,2025-09-18 21:05:14
13.187,50000,2025-09-18 21:05:14
12.138,50000,2025-09-18 21:05:14
12.617,50000,2025-09-18 21:05:14
12.568,50000,2025-09-18 21:05:14
13.382,50000,2025-09-18 21:05:14
12.112,50000,2025-09-18 21:05:14
12.993,50000,2025-09-18 21:05:14
13.051,50000,2025-09-18 21:05:14
12.604,50000,2025-09-18 21:05:14
11.700,50000,2025-09-18 21:05:14
12.009,50000,2025-09-18 21:05:14
12.086,50000,2025-09-18 21:05:14
12.567,50000,2025-09-18 21:05:14
12.861,50000,2025-09-18 21:05:14
13.284,50000,2025-09-18 21:05:14
11.553,50000,2025-09-18 21:05:14
13.867,50000,2025-09-18 21:05:14
13.510,50000,2025-09-18 21:05:14
13.025,50000,2025-09-18 21:05:14
12.214,50000,2025-09-18 21:05:14
12.536,50000,2025-09-18 21:05:14
13.059,50000,2025-09-18 21:05:14
11.613,50000,2025-09-18 21:05:14
10.934,50000,2025-09-18 21:05:14
13.139,50000,2025-09-18 21:05:14
13.177,50000,2025-09-18 21:05:14
12.611,50000,2025-09-18 21:05:14
13.057,50000,2025-09-18 21:05:14
12.783,50000,2025-09-18 21:05:14
11.215,50000,2025-09-18 21:05:14
11.346,50000,2025-09-18 21:05:14
12.764,50000,2025-09-18 21:05:14
12.969,50000,2025-09-18 21:05:14
12.811,50000,2025-09-18 21:05:14
12.549,50000,2025-09-18 21:05:14
13.330,50000,2025-09-18 21:05:14
13.495,50000,2025-09-18 21:05:14
13.550,50000,2025-09-18 21:05:14
13.304,50000,2025-09-18 21:05:14
11.953,50000,2025-09-18 21:05:14
12.356,50000,2025-09-18 21:05:14
12.607,50000,2025-09-18 21:05:14
12.774,50000,2025-09-18 21:05:15
12.837,50000,2025-09-18 21:05:15
12.301,50000,2025-09-18 21:05:15
11.601,50000,2025-09-18 21:05:15
12.291,50000,2025-09-18 21:05:15
12.956,50000,2025-09-18 21:05:15
12.564,50000,2025-09-18 21:05:15
11.604,50000,2025-09-18 21:05:15
12.839,50000,2025-09-18 21:05:15
12.737,50000,2025-09-18 21:05:15
12.336,50000,2025-09-18 21:05:15
12.765,50000,2025-09-18 21:05:15
12.734,50000,2025-09-18 21:05:15
12.007,50000,2025-09-18 21:05:15
12.043,50000,2025-09-18 21:05:15
12.917,50000,2025-09-18 21:05:15
12.387,50000,2025-09-18 21:05:15
11.829,50000,2025-09-18 21:05:15
12.576,50000,2025-09-18 21:05:15
12.791,50000,2025-09-18 21:05:15
12.462,50000,2025-09-18 21:05:15
12.679,50000,2025-09-18 21:05:15
12.620,50000,2025-09-18 21:05:15
13.076,50000,2025-09-18 21:05:15
12.726,50000,2025-09-18 21:05:15
12.931,50000,2025-09-18 21:05:15
12.529,50000,2025-09-18 21:05:15
13.132,50000,2025-09-18 21:05:15
10.708,50000,2025-09-18 21:05:15
12.650,50000,2025-09-18 21:05:15
10.496,50000,2025-09-18 21:05:15
14.360,50000,2025-09-18 21:05:15
22.316,50000,2025-09-18 21:05:15
13.334,50000,2025-09-18 21:05:15
13.098,50000,2025-09-18 21:05:15
12.753,50000,2025-09-18 21:05:15
12.563,50000,2025-09-18 21:05:15
12.306,50000,2025-09-18 21:05:15
12.673,50000,2025-09-18 21:05:15
11.303,50000,2025-09-18 21:05:15
12.836,50000,2025-09-18 21:05:15
14.290,50000,2025-09-18 21:05:15
12.670,50000,2025-09-18 21:05:15
13.220,50000,2025-09-18 21:05:15
12.729,50000,2025-09-18 21:05:15
13.185,50000,2025-09-18 21:05:15
12.895,50000,2025-09-18 21:05:15
13.447,50000,2025-09-18 21:05:15
12.522,50000,2025-09-18 21:05:15
12.983,50000,2025-09-18 21:05:15
12.898,50000,2025-09-18 21:05:15
13.280,50000,2025-09-18 21:05:15
12.804,50000,2025-09-18 21:05:15
12.597,50000,2025-09-18 21:05:15
16.608,50000,2025-09-18 21:05:15
19.758,50000,2025-09-18 21:05:15
